"pcs" "RUC" "cs" "reves" "crevpp" "region" "habi" "Ahabi" "Atyph" "agecat" "Acompm" "nbpers" "enfants" "Anat" "Bauto" "Nbadulte" "Sinistre1" "Sinistre2" "Sinistre3" "Police1" "Police2" "Police3" "durPolice1" "Durée" "NSin" "censure" "Sinistre0"
"Retraites" 7500 "Moyenne Sup" 7500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0.6 0 0 6.31 5.925 0.695 9.05591388829975 906 2 1 17.5897160021996
"Cadres et prof. intellectuelles sup." 25000 "Aise" 60000 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 2.71 0 0.69 0.785 0 30 3 1 20.9272636476966
"Cadres et prof. intellectuelles sup." 25000 "Aise" 90000 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 2.71 0 0.69 0.785 0 30 4 1 22.0219587480924
"Retraites" 5500 "Moyenne Inf" 5500 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Non declare" "Pas de vehicule" 1 0 0 3.45 1.32 5.445 0 5.69012848673552 569 2 1 18.0124387053699
"Ouvriers" 5113.636 "Moyenne Inf" 11250 "2eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0.4 2 0 0.4 8.43 1.47 0.637834173878886 64 5 1 12.1150526903544
"Retraites" 6500 "Moyenne Inf" 6500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 1.1 0 0 2.5 2.85 0 30 2 1 19.6098058584203
"Cadres et prof. intellectuelles sup." 16250 "Aise" 16250 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0.4 0 1.1 7.205 4.775 4.245 34.7848841180835 3478 4 1 22.1171575402132
"Ouvriers" 7386.364 "Moyenne Sup" 16250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0.71 1.125 17.95 1.329 0.99813369320656 100 4 1 7.4240265645922
"Autres pers. sans activite prof." 11250 "Aise" 11250 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 1.6 0 0 0 1.305 1.475 0 30 2 1 16.3421894191287
"Retraites" 5729.167 "Moyenne Inf" 13750 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Autre menage" 3 "Pas d'enfants" "Au moins une personne etrangere" "Au - 1 vehicule" 3 0 0 0.92 0.98 2.6 2.885 0.709195087573651 71 4 1 16.4030616364779
